internal_id,category_name,total_products
22395942,Ranch,1
22395944,Veggie,1
22395945,Cheese & Bean Dips,5
22395946,French Onion & Ranch,5
22395947,Hot Salsa,3
22395948,Medium Salsa,12
22395949,Mild Salsa,4
22395950,Salsa,4
22395951,Salsa Verde,3
22571166,Catering,46
22698274,Household Essentials,65
22718248,Wine Collection,15
22720611,Pepsi,82
22741774,Hot Sauce Recipe,14
22741775,Mini Fridge ASMR,14
22761682,Weekly BOGO,9
22823056,Red or White Onions,2
22839848,Blue Bunny Ice Cream,58
22840627,Meals on a Budget,14
22841638,Sedano’s Ice Creams,14
22849043,Tide/Gain,8
22860095,Mac n Cheese,11
22883275,Planet Oat 2/$5,3
22883295,Valentini Ice Cream,8
22890843,Tropicana Orange Juice or Juice Blends,15
22892351,Organic,94
22893033,Dole Salads,23
22897233,David Killer's Bagel BOGO,4
22901301,Blue Bell Ice Cream Special,6
22903579,Sedano's Brand,478
22904877,Crisco Oil BOGO,3
22904883,Mueller's Pastas BOGO,16
22904927,Charcuterie Board Items,86
22909113,Sedano's Whole Frozen Turkey,1
22909121,Los Riscos F/Page,7
22911777,Sedano's Nectars,4
22915453,Compare and Save,683
22915455,Ariel,5
22915459,Goya,506
22919399,Frontera Wines,2
22922343,Nestle Deal,7
22922985,Del Monte Hard Green or Ripe Bananas,2
22922987,Kellogg's Special K Cereals,9
22928997,Grab-n-Go,6
22945293,Frito Lay's Multipack,9
22954123,Build Your Own Smoothie,38
22971347,P.A.N Corn Meal,2
22975435,Mini Platters,12
22975437,Platters,13
22975439,Combo Meals for 10,15
22975459,Quick Meals,64
22975461,Heat and Eat Foods,16
22975463,Heat and Eat Sandwiches,13
22975465,Salads,7
22975467,Combo Meals for 1,8
22975469,Combo Meals for 4,1
22975471,Foods By Pound,10
22975473,Soups,2
22975475,Hot Sandwiches,7
22978101,"Coronita, Modelito, Heineken",1
22978103,California Oranges,1
22984125,CAP'N CRUNCH,3
22986253,Utz Chips,7
22986303,Bauducco,31
22986305,Klass,25
22986323,Malt o Meal,28
22986327,La Yogurt,74
22986331,Jarritos,31
22986333,Conchita,91
22986335,Mission Foods,24
22986337,Guerrero Foods,9
22986339,Batey,13
22986341,Blue Sky Eggs,1
22986343,Oreo,68
22986345,Ritz,22
22986347,Jack Links,9
22986467,Postobon,14
22986469,Colombiana,2
22986473,Mariquitas Snacks,19
22986877,Iberia Beans in Salt and Water,5
22987563,Vita Nuova,1
22987575,Violife,1
23005251,Red or Green Seedless Grapes,2
23011885,Mott's Apple Sauce 6Pk,1
23011887,Mott's Apple Juice 64 Oz,1
23013275,Hellmann's Mayonnaise 30 oz,5
23013277,Hellmann's Mayonnaise 11.5 Oz,7
23013279,Knorr,3
23013281,Maizena Corn Strach,1
23013817,Hellmann's Mayonnaise,12
23015659,Nabsico,4
23015663,Dannon Danimals,5
23016899,Hunt's Snack Pack Vanilla Pudding,1
23016905,Act II Popcorn,4
23016907,Chef Boyardee Pastas,9
23016913,Gamesa Sweet Mix Cookies,1
23016921,Yo Crunch Yogurt,3
23017163,Caprisun Drinks,13
23020455,Parmalat,3
23020457,"Pillsbury Cake or Brownie Mix, and Frosting",22
23020467,Nissin Soups,24
23021747,Bustelo Coffee,1
23021749,Blue Triton Pure Life,1
23021753,Lala Milk,2
23021755,Lala Low Fat Milk,2
23021757,Cloralen Bleach,4
23021759,Goya Crackers,1
23021763,Batey,1
23022135,LAFE,3
23025069,Sedano's Ice Cream,13
23025719,Romaine or Green leaf Lettuce,2
23025743,Pan,5
23025869,"Baby Ruth, Crunch, Butterfinger, Kinder Joy",3
23025873,Mars Chocolate,6
23025875,Kraft Caramels,1
23025877,Hersheys & Kit Kat,8
23025883,Haribo Scary Mix,1
23036085,Horizon Milk,3
23038213,Wholesale Flowers,4
23042077,Imported Fresh Pork Belly,1
23042093,Dux Crackers,2
23043333,Wholesale Roses,1
23043349,Wholesale Hybrid Lilies,1
23044269,Sedano's Grade A Milk,4
23044271,Entenmann's Loaf Cakes,8
23045363,Red Delicious Fuji Granny Smith Apples,3
23060041,Sedano's Grade A Whole Turkey,4
23060657,Breyers Ice Cream,30
23060835,Castillo de Jijona,21
23060837,Los Riscos Wines,7
23061549,Tampico Punch,5
23061711,Fresh Chicken Leg Quarters,2
23061713,Badia Complete Seasoning or Granulated Garlic,2
23073495,Sunchy Nectars,17
23073847,Ironbeer or Lanio Sodas or Sunchy Malta,4
23074545,Corona/Modelo Beer,12
23075371,Green or Red Pepper,2
23075373,Sedano's Plantain Chips,2
23077735,Mazola Oil,3
23077737,Bounty Essential Paper Towel or Charmin Essential  Bath Tissue,3
23078357,Strawberries or Blackberries,2
23078815,Petit Nectars,1
23079105,Fair Essentials,50
23079107,Petit,13
23079109,Bumble Bee Tuna,2
23079111,Mazola,4
23079413,El Viejo Luis,31
23079805,Mazola Oil 96 Fl Oz,3
23080155,Fresh Pork Spare Ribs or Pork Tenderloin Boneless Cry O Vac,1
23080157,Yogurico Yogurt,5
23080527,"Heineken, Coronita, Modelito, Dos Equis Beer",3
23080757,Goya Beans,5
23081009,Beef Loin Sirloin Cap Whole Cry O Vac or Beef Bottom Sirloin Butt Flap Meat,3
23081607,Fresh Pork Loin Sirloin Roast or Pork Tenderloin Boneless Cry O Vac,2
23081611,Haagen Dazs Ice Cream or Bars,12
