internal_id,category_name,total_products
22394906,"Bagels, Muffins & Sandwiches",5
22394907,Egg Dishes,1
22394908,Pancakes & French Toast,6
22394909,Pastries,7
22394910,Sausage,6
22394911,Waffles,16
22394913,Pies & Desserts,7
22394915,Blueberries,2
22394916,Fruit,28
22394917,Juices,10
22394919,Strawberries,1
22394921,Frozen Yogurt,8
22394922,Fruit & Juice Bars,11
22394924,Ice Cream,208
22394925,Ice Cream Cakes & Pies,27
22394926,Ice Cream Cones & Toppings,31
22394927,Non-Dairy Ice Cream & Novelties,1
22394928,Popsicles,12
22394929,Sandwiches & Bars,40
22394930,Sorbet & Sherbet,1
22394932,Beef,9
22394933,Chicken,13
22394935,Easy Meals,4
22394936,Fish & Seafood,7
22394937,Healthier Options,2
22394938,International,84
22394939,Italian,4
22394942,Mexican,9
22394943,Organic,19
22394944,Pasta & Rice,26
22394945,Pot Pies,21
22394946,"Sandwich, Wraps, Pockets",1
22394948,Turkey,4
22394949,Vegetarian,9
22394950,Beef,18
22394951,Chicken,10
22394953,Seafood,25
22394954,Turkey,1
22394955,Cheese,7
22394956,Combination,6
22394957,Meat,10
22394958,Veggie,1
22394961,Beans & Peas,7
22394963,Broccoli,7
22394964,Brussel Sprouts,1
22394965,Carrots,1
22394966,Cauliflower,5
22394967,Corn,14
22394969,Green Peppers,1
22394970,Mixed Vegetables,25
22394972,Okra,2
22394974,Potatoes,31
22394975,Spinach & Greens,5
22394976,Squash,1
22394978,Candles and Incense,35
22394979,Clothing,1
22394981,Gifts,5
22394982,Greeting Cards,11
22394983,Outdoor Activities,3
22394984,Seasonal,16
22394985,Specialty Bakeware & Cookware,7
22394986,Tabletop & Dinnerware,107
22394987,Toys & Games,20
22394988,Canadian,1
22394989,Sliced,15
22394990,Turkey,2
22394991,Beef Roasts & Ribs,19
22394993,Corned Beef,3
22394994,Ground Beef & Burgers,12
22394995,"Kabobs, Stew, Cubes & Strips",5
22394996,Parts,3
22394997,Steaks & Fillets,31
22395000,Chicken,2
22395001,Chorizo,15
22395003,Polish,1
22395004,Pork,5
22395006,Turkey,2
22395007,Chicken Breasts,10
22395008,"Chicken Legs, Thighs & Wings",28
22395009,"Chicken Nuggets, Patties & Tenders",3
22395010,Ground Chicken,1
22395012,Parts,6
22395013,Whole Chicken,7
22395014,Breakfast,1
22395015,Burger,1
22395017,Ground Meat,1
22395019,Jamaican Patties,1
22395020,Natural,1
22395021,Other,1
22395024,Ready To Cook,5
22395026,Steak,2
22395028,Beef,1
22395031,Bologna,6
22395032,Chicken,2
22395033,Ham,19
22395034,Hot Dogs,30
22395035,Lunchables & Lunch Packs,19
22395036,Salami & Pepperoni,13
22395037,Sausages,12
22395039,Turkey,11
22395040,"Burger, Ground Meat",1
22395041,Heat N Eat,2
22395044,Misc.,1
22395048,Salami,3
22395049,Sides,2
22395050,Chops & Ribs,25
22395051,Ground Pork,1
22395052,Kabobs,2
22395053,Loins,11
22395054,Pork Roasts,11
22395056,Steaks,6
22395057,Ground Turkey & Burgers,4
22395059,Turkey Breasts,1
22395060,"Turkey Legs, Thighs & Wings",3
22395061,Whole Turkey,3
22395062,Accessories,12
22395063,Baby Bath and Shampoo,9
22395064,Baby Food & Snacks,178
22395065,Baby Formula,19
22395066,Baby Lotion and Oil,1
22395068,Bottles and Cups,2
22395070,Children's Health,1
22395074,"Creams, Oils & Ointments",7
22395075,Diapers & Training Pants,30
22395076,Junior Food & Snacks,1
22395078,"Milk, Juices & Drinks",3
22395083,"Wipes, Refills & Accessories",14
22395084,Coffee,163
22395085,"Evaporated Milk, Condensed Milk & Powdered Milk",18
22395086,Hot Cocoa,12
22395087,Juice & Lemonade,341
22395088,Juice-Refrigerated,18
22395089,Powdered Drinks & Mixes,128
22395090,Soft Drinks,365
22395091,Sports & Energy,90
22395092,Tea,182
22395093,Water,190
22395095,Canned & Boxed Soups,203
22395096,Canned & Packaged Fruit,159
22395097,Canned Meat,53
22395098,Canned Mushrooms,3
22395099,Canned Pasta,4
22395100,Canned Tuna & Seafood,166
22395101,Canned Vegetables,357
22395102,Cereal,96
22395103,Drinks & Instant,3
22395104,Fruit Snacks,1
22395105,Granola & Energy Bars,15
