id,name,upc,category,brand,weight,height,width,length,color
1630963!item.en-US,Winix C909 4-Stage Air Purifier with Wi-Fi & PlasmaWave Technology,8809490584906,/appliances.html,['Winix'],['17.2 lb.'],,,,['Black']
1794884!item.en-US,"Windmill 8,000 BTU Window Air Conditioner with WhisperTech and 1 Year of Carbon Filters",860003069561,/air-conditioners.html,['Windmill'],['61 lb.'],,,,['White']
2449587!item.en-US,Winix True HEPA 4 Stage Air Purifier with Wi-Fi and Additional Filter,8809490585576,/appliances.html,['Winix'],,,,,
1769129!item.en-US,Midea Smart 50-Pint Dehumidifier with Built-in Pump,840296507971,/appliances.html,['Midea'],['41.89 lb.'],,,,['White']
2354207!item.en-US,Woozoo 5-Speed Globe Fan,762016498881,/appliances.html,['Woozoo'],['4.74 lb.'],,,,['White']
1649235!item.en-US,"Kirkland Signature 2200 High Performance Furnace Filters, 4-pack",096619892921,/furnace-filters.html,['Kirkland Signature'],,,,,
1744667!item.en-US,"3M 2500 Series Filtrete 1"" Filter, 4-pack",076308427351,/furnace-filters.html,['Filtrete'],,,,,
3449587!item.en-US,WINIX C610 4-Stage True HEPA Air Purifier With Wi-Fi and Additional Filter,8809490587020,/appliances.html,['Winix'],['13.2 lb.'],,,,['White']
1888088!item.en-US,Levoit Plasma Pro Core 300S Smart Air Purifier with Extra Filter Bundle,810043375269,/appliances.html,['Levoit'],['8.6 lb.'],,,,['White']
1395504!item.en-US,"3M Ultra Allergen Reduction Deep Pleat 4"" Filter, 2-pack",638060280140,/furnace-filters.html,['Filtrete'],,,,,
3639087!item.en-US,"Shark NeverChange Air Purifier MAX with Remote, Two Odor Neutralization Cartridges, & Pet Pro Filter",622356648943,/appliances.html,['Shark'],['12.27 lb.'],,,,['Silver']
1035122!item.en-US,GermGuardian 6-in-1 Large Room Air Purifier with HEPA Filter & Air Quality Monitor,499995594395,/appliances.html,['GermGuardian'],['13.75 lb.'],,,,['White']
1896710!item.en-US,"Blue Pure Mini Max Air Purifier, 2-pack By Blueair",499994617613,/appliances.html,['Blueair'],['2.8 lb.'],,,,['Gray']
1885428!item.en-US,"Winix Genuine Replacement Filter Z, 2-pack for C610 Air Purifier",8809490587303,/appliances.html,['Winix'],['2 lb.'],,,,
3267852!item.en-US,Dyson Purifier Cool TP11 with Replacement Filter,885609039275,/appliances.html,['Dyson'],['10.48 lb.'],,,,['White']
2634499!item.en-US,Levoit Smart Hybrid Ultrasonic Warm/Cool Mist 1.58G Humidifier,810123672097,/humidifiers.html,['Levoit'],['6 lb.'],,,,
1915672!item.en-US,MRCOOL DIY 5th Gen 12K BTU Ductless Mini-Split Heat Pump,840255588546,/air-conditioners.html,['MRCOOL'],,,,,['White']
1081014!item.en-US,"Winix Replacement Filter Pack for C535 and C909 Air Purifiers, 2-pack",8809154398429,/appliances.html,['Winix'],,,,,
1515835!item.en-US,"Winix Ultrasonic Humidifier with UV-C LED Technology, 2-gallons",8809490583503,/humidifiers.html,['Winix'],,,,,['White']
1527704!item.en-US,Presto HeatDish Plus Tilt Parabolic Heater,075741079288,/appliances.html,['Presto'],,,,,
1802223!item.en-US,Dyson Purifier Big+Quiet BP02,885609035420,/appliances.html,['Dyson'],['26 lb.'],,,,['Multi']
1931802!item.en-US,"Blueair Mini Max Replacement Filters, 2-pack",689122030869,/appliances.html,['Blueair'],['4 oz.'],,,,
1502861!item.en-US,CUCKOO Air Purifier with Additional True HEPA Filters,8809591519081,/appliances.html,['Cuckoo'],['4.2 lb.'],,,,['White']
1870661!item.en-US,Vornado Box Fan,043765021927,/appliances.html,['Vornado'],['13.07 lb.'],,,,['Multi']
1519441!item.en-US,"3M Filtrete HVAC 5"" Filter Allergen Reduction, 2-pack",499994626240,/furnace-filters.html,['Filtrete'],,,,,
1825532!item.en-US,"3M Filtrete Allergen Reduction Deep Pleat Filter 4"" Slim Fit, 2-pack",076308871154,/furnace-filters.html,['3M'],,,,,
1915675!item.en-US,MRCOOL DIY 5th Gen 18K BTU Ductless Mini-Split Heat Pump,840255588553,/air-conditioners.html,['MRCOOL'],,,,,['White']
9631000!item.en-US,"DeWalt 16"" 3-Speed Benchtop and Hanging Drum Fan",810018927189,/appliances.html,['DEWALT'],,,,,
1035011!item.en-US,"Homedics Smart Air Purifier T2503, 4-in-1 Console, With True HEPA Filtration & UV-C Technology",031262109934,/appliances.html,['Homedics'],['8.6 lb.'],,,,['White']
1415862!item.en-US,Vornado Whole Room Heater and Fan,043765015070,/appliances.html,['Vornado'],['5.56 lb.'],,,,['Black']
2365634!item.en-US,Lasko Super Fan Max Multi-Purpose Compact Air Mover,046013264015,/appliances.html,['Lasko'],['10 lb.'],,,,['White']
3691084!item.en-US,"Hisense 8,000 BTU Dual Hose Portable Air Conditioner with Inverter and Wi-Fi",499994756152,/air-conditioners.html,['Hisense'],['60.2 lb.'],,,,['White']
1876064!item.en-US,"GermGuardian Airsafe+ Intelligent Air Purifier with HEPA Filter, UV-C, Air Quality Monitor",499994727626,/appliances.html,['GermGuardian'],['7.02 lb.'],,,,['White']
2780227!item.en-US,Danby 60-Pint Dehumidifier with Pump & Wi-Fi,067638032315,/appliances.html,['Danby'],['57.8 lb.'],,,,['White']
1035102!item.en-US,"Homedics Smart Air Purifier C550+, 4-in-1 Console, True HEPA Filtration, UV-C Technology + Replacement Filter",031262110039,/appliances.html,['Homedics'],['22.26 lb.'],,,,['White']
1870662!item.en-US,Shark TurboBlade XL Ultra-Powerful Bladeless Tower Fan,622356664868,/appliances.html,['Shark'],['15.17 lb.'],,,,['White']
1806366!item.en-US,"DeWalt 24"" Heavy-Duty Drum Fan",810941032028,/appliances.html,['DEWALT'],['32.64 lb.'],,,,['Yellow']
