product_id,status,list_price,unit_price,sale_price,store_id
1769129!item.en-US,in stock,179.99,179.99,179.99,758-wm
2354207!item.en-US,in stock,49.99,39.99,39.99,1-wh
1649235!item.en-US,in stock,39.99,39.99,39.99,847_0-edi
1744667!item.en-US,in stock,49.99,49.99,49.99,847_0-edi
3449587!item.en-US,in stock,129.99,129.99,129.99,1-wh
1888088!item.en-US,in stock,149.99,149.99,149.99,847_0-edi
1395504!item.en-US,in stock,39.99,39.99,39.99,847_0-edi
3639087!item.en-US,in stock,279.99,219.99,219.99,1-wh
1035122!item.en-US,in stock,189.99,189.99,189.99,847_0-edi
1896710!item.en-US,in stock,99.99,79.99,79.99,1-wh
1885428!item.en-US,in stock,79.99,59.99,59.99,847_0-edi
3267852!item.en-US,in stock,479.99,479.99,479.99,1-wh
2634499!item.en-US,in stock,79.99,79.99,79.99,847_0-edi
1915672!item.en-US,in stock,1499.99,1349.99,1349.99,847_0-edi
1081014!item.en-US,in stock,79.99,59.99,59.99,847_0-edi
1515835!item.en-US,in stock,79.99,59.99,59.99,847_0-edi
1527704!item.en-US,in stock,89.99,89.99,89.99,847_0-edi
1802223!item.en-US,in stock,749.99,599.99,599.99,731-wm
1931802!item.en-US,in stock,34.99,34.99,34.99,847_0-edi
1502861!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
1870661!item.en-US,in stock,69.99,54.99,54.99,1-wh
1519441!item.en-US,in stock,44.99,44.99,44.99,847_0-edi
1825532!item.en-US,in stock,39.99,39.99,39.99,847_0-edi
1915675!item.en-US,in stock,1899.99,1699.99,1699.99,847_0-edi
9631000!item.en-US,in stock,79.99,79.99,79.99,1-wh
1035011!item.en-US,in stock,159.99,159.99,159.99,847_0-edi
1415862!item.en-US,in stock,69.99,69.99,69.99,847_0-edi
2365634!item.en-US,in stock,69.99,59.99,59.99,1-wh
3691084!item.en-US,in stock,349.99,349.99,349.99,731-wm
1876064!item.en-US,in stock,99.99,99.99,99.99,847_0-edi
2780227!item.en-US,in stock,249.99,249.99,249.99,847_0-edi
1035102!item.en-US,in stock,249.99,249.99,249.99,847_0-edi
1870662!item.en-US,in stock,199.99,199.99,199.99,1-wh
1806366!item.en-US,in stock,169.99,169.99,169.99,1-wh
1915678!item.en-US,in stock,2299.99,1999.99,1999.99,1456-3pl
