id,name,gtin,category,brand,rating
prod23030856,"Member's Mark Dark Chocolate Thins with Almonds & Sea Salt, 20 oz.",7874221923,690107,Member's Mark,4.7634
prod18140238,"SOUR PUNCH Rainbow Straws, Chewy Candy, 2 oz., 24 ct. ",4136405792,16290835,Sour Punch,4.6575
prod22321595,"HERSHEY'S Milk Chocolate Bars, Snack Size, 80 pcs.",3400040407,690107,Hershey's,4.821
P03002757,"Starburst Original Assorted Jelly Beans, 54 oz.",2200029050,16290835,Starburst,4.5219
157382,"HERSHEY'S Milk Chocolate with Whole Almonds Candy Bars, Full Size, 1.45 oz., 36 pk.",3400024100,690107,Hershey's,4.724
P03019582,"UnReal Dark Chocolate Coconut Bars, Mini, 11.1 oz.",85748400671,690107,UnReal,4.6911
155983,"HERSHEY'S Cookies 'n' Creme Candy Bars, Full Size, 1.55 oz., 36 pk.",3400023900,690107,Hershey's,4.6729
P03019732,"Extra Spearmint Sugar Free Chewing Gum Bulk Pack 15 pcs., 10 pk.",2200015954,1457,EXTRA,4.7769
P03020740,"Orbit Mint Sugar Free Chewing Gum, Variety Pack, 14 pcs., 18 pk.",2200011437,1457,Orbit,4.6578
prod24450066,"SOUR PATCH KIDS & SWEDISH FISH Variety Pack Candy, 2 oz., 24 pk.",7046200656,16290835,Sour Patch Kids,4.7285
P03016680,"Member's Mark Dark Chocolate Soft Sea Salt Caramels, 36 oz.",19396833269,690107,Member's Mark,4.8128
P03004218,"Member's Mark Milk Chocolate Toffee Truffle with Sea Salt, 19 oz.",19396831951,690107,Member's Mark,4.7417
P990331029,"HARIBO Goldbears, 2 oz., 24 pk.",4223830188,16290835,HARIBO ,4.6458
P990335878,"Member's Mark Milk Chocolate Raisins, 54 oz.",19396840999,690107,Member's Mark,4.7693
156070,"Push Pop Variety Pack Candy, 0.5 oz., 24 ct.",4111600902,16290834,Topps,4.6863
P03016122,"REESE'S Chocolate Peanut Butter Dipped, Animal Crackers, 24 oz.",3400022932,690107,Reese's,4.7147
P990322917,"Member’s Mark Strawberry Yogurt Almonds, 17.5 oz.",4166807955,9520104,Member's Mark,4.5669
P990332254,"TWIZZLERS Strawberry Flavored Twists Tub, 5 lbs.",3400050302,16290835,TWIZZLERS,4.4399
P03019728,"Extra Polar Ice Sugar Free Chewing Gum, 15 pcs., 10 pk.",2200015953,1457,Extra,4.6807
prod24544046,"Werther's Original Hard Caramel Candy, 39.75 oz.",,16290834,Werther's,4.8905
127380,"BROOKSIDE Dark Chocolate Pomegranate Flavored Chocolate, 32 oz.",6843738920,690107,Brookside,4.828
P990349234,"Black Forest Gummy Bears, 4 lbs.",4142008094,16290835,Black Forest,4.2887
P03019727,"Extra Peppermint Sugar Free Chewing Gum, 15 pcs., 10 pk.",2200015952,1457,EXTRA,4.7376
176225,"Parade Cotton Candy, 2 oz., 8 pk.",1420030628,16290835,Parade,4.7496
prod9140507,"SOUR PATCH KIDS Watermelon Soft Chewy Candy, 2 oz., 24 pk.",7046201232,16290835,Sour Patch Kids,4.775
prod22740143,"Mentos Pure Fresh Mint, Sugar-Free Chewing Gum, 50 pcs., 4 pk.",7339001224,1457,Mentos,4.8178
P990348109,"Skittles Wild Berry Fruity Chewy Candy Full Size Bulk Pack 2.17 oz., 36 ct.",4000001162,16290835,SKITTLES,4.6185
prod21023652,"Bazooka Candy, Variety Pack, 40 ct.",4111624108,16290834,Ring Pop,4.8676
156002,"PAYDAY Peanut Caramel Candy, 1.85 oz., 24 pk.",1070096323,16290440,Payday,4.7948
prod22752528,"Skittles Original Chewy Candy Bulk Jar, 54 oz.",,16290835,Skittles,4.6358
P03006616,"Life Savers Pep-O-Mint Breath Mints, 3 lbs.",,1457,Life Savers,4.8253
prod22752530,"Starburst Original Fruity Chewy Candy, 54 oz.",,16290835,Starburst,4.6728
prod22452338,"SNICKERS Milk Chocolate Candy Bars, Fun Size, 70 pcs.",4000054466,690107,Snickers,4.8695
prod24451034,"Kinder Bueno Milk Chocolate Hazelnut Bars, 1.5 oz., 20 pk.",980055210,690107,Kinder Bueno,4.8134
P03020624,"REESE'S Milk Chocolate Peanut Butter Cups, Snack Size, 65 pcs.",,690107,Reese's,4.7255
prod25430285,"CADBURY CARAMELLO Milk Chocolate Caramel Candy, Minis, 27.6 oz. ",,690107,Cadbury,4.7771
prod24450073,"Flipz Milk Chocolate Covered Pretzels, 24 oz.",81021903080,16650640,Flipz,4.7185
118134,"Hubba Bubba Bubble Tape Gum, 2 oz., 12 pk.",2200001772,1457,Hubba Bubba,4.6577
prod20302272,"ICE BREAKERS Ice Cubes, Peppermint Sugar Free Chewing Gum, 40 pcs., 4 pk.",3400070025,1457,Ice Breakers,4.723
prod710492,"Red Vines Original Red Twists, 5 lbs.",,16290835,Red Vines,4.357
prod8150242,"Milky Way Chocolate Candy Bars, Full Size, 1.84 oz., 36 pk.",4000052206,690107,Milky Way,4.625
193847,"Mentos Fruit Variety, 1.32 oz., 15 pk.",,1457,Mentos,4.6239
160454,"Starburst Original Fruity Chewy Candy, Full Size, 2.07 oz., 36 ct.",4000001151,16290835,Starburst,4.6484
178235,"Baby Bottle Pop Variety Pack Candy, 0.85 oz., 20 ct.",4111610634,16290834,Topps,4.6994
P990366401,"Trident Spearmint Sugar Free Gum, 14 pcs., 15 pk.",7339005045,1457,TRIDENT,4.8333
prod2380114,"ICE BREAKERS Wintergreen Sugar Free Breath Mints, 1.5 oz., 8 pk.",,1457,Ice Breakers,4.8147
prod20300340,"ICE BREAKERS Ice Cubes Spearmint Sugar Free Gum, 40 pcs., 4 pk.",3400070026,1457,Ice Breakers,4.7401
prod22182568,"Extra Spearmint Sugar-Free Gum, 35 pcs., 6 pk.",2200002075,1457,Extra,4.8581
P03005454,"Fun Sweets Summer Cotton Candy Variety Pack,  2 oz.,12 pk.",72046410032,16290835,Fun Sweets,4.5341
prod22751626,"Russell Stover Easter Bunny Solid Milk Chocolate Candy Rabbits, 2 pk.",7726006415,690107,Russell Stover ,4.744
prod22751398,"Hot Tamales, Fierce Cinnamon Candy, 54 oz.",,16290835,Hot Tamales,4.8224
119099,"Swedish Fish Soft and Chewy Candy, Mini , 2 oz., 24 pk.",7046201236,16290835,Swedish Fish,4.6912
prod4960468,"Laffy Taffy Assorted Flavors, 145 pcs.",7920079349,16290835,Laffy Taffy,4.6145
P990366402,"Trident Original Flavor Sugar Free Gum, 14 pcs., 15 pk.",7339005046,1457,TRIDENT,4.7419
P990401407,"Brach's Soft Peppermint Candies, 350 pcs.",4142008449,1457,Brach's,4.8571
110647,"ICE BREAKERS Coolmint Sugar Free Breath Mints, 1.5 oz., 8 pk.",,1457,Ice Breakers,4.8
