id,name,upc,category,size,url,status
1564405684712023372,Mi Encanto Sponrru,4023256260,['22394626'],8 oz,https://www.sedanos.com/shop/bakery/packaged_sweets_desserts/mi_encanto_sponrru/p/1564405684712023372,available
1564405684712023852,Sedano's Custard,27100600000,['22394612'],5 oz,https://www.sedanos.com/shop/bakery/sedano_s_custard/p/1564405684712023852,available
1564405684712025387,Galaxy Bakery Caramel Sweet Roll,88247985223,['22394626'],22 oz,https://www.sedanos.com/shop/bakery/packaged_sweets_desserts/galaxy_bakery_caramel_sweet_roll/p/1564405684712025387,available
1564405684704278482,"Nature's Own Bread, Brioche Style, Thick Sliced, Perfectly Crafted 22 oz",7225002131,['22394622'],22 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/nature_s_own_bread_brioche_style_thick_sliced_perfectly_crafted_22_oz/p/1564405684704278482,available
1564405684712023930,"Sedano's Cold Ham And Cheese Sandwich, 25 Pk",27113200000,['22394756'],16 oz,https://www.sedanos.com/shop/bakery/freshly_baked_artisan_bread/baguettes_italian_french_bread/sedano_s_cold_ham_and_cheese_sandwich_25_pk/p/1564405684712023930,available
1564405684702756881,"Nature's Own Bread, Multigrain, Thick Sliced 22 oz",7225002075,['22394746'],22 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/multi_grain_whole_wheat_bread/nature_s_own_bread_multigrain_thick_sliced_22_oz/p/1564405684702756881,available
40027,"Entenmann's Pound Cakes, Mini 6 ea",7203001968,['22394773'],6 ea,https://www.sedanos.com/shop/bakery/sweets_desserts/cakes/entenmann_s_pound_cakes_mini_6_ea/p/40027,available
1564405684712025354,Tikal Semitas Largas,85393200102,['22394612'],12 oz,https://www.sedanos.com/shop/bakery/tikal_semitas_largas/p/1564405684712025354,available
7011992,"Wonder Hamburger Buns, Seeded, Jumbo 8 ea",7225009265,['22394622'],8 ea,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/wonder_hamburger_buns_seeded_jumbo_8_ea/p/7011992,available
19635,Little Debbie Swiss Rolls 12 ea,2430004130,['22394773'],12 ea,https://www.sedanos.com/shop/bakery/sweets_desserts/cakes/little_debbie_swiss_rolls_12_ea/p/19635,available
1564405684702793076,"Wonder Hot Dog Buns, Classic 8 ea",7225002108,['22395267'],8 ea,https://www.sedanos.com/shop/bakery/buns_rolls/from_the_aisle/buns/wonder_hot_dog_buns_classic_8_ea/p/1564405684702793076,available
1564405684712025307,Galaxy Bakery The Original Napolitan,82479085225,['22394624'],22 oz,https://www.sedanos.com/shop/bakery/freshly_baked_artisan_bread/galaxy_bakery_the_original_napolitan/p/1564405684712025307,available
11041,"Nature's Own Bread, Sugar Free, 100% Whole Grain 16 oz",7225001767,['22394746'],16 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/multi_grain_whole_wheat_bread/nature_s_own_bread_sugar_free_100_whole_grain_16_oz/p/11041,available
1564405684712022945,Rice Pudding,27100300000,['22394612'],10 oz,https://www.sedanos.com/shop/bakery/rice_pudding/p/1564405684712022945,available
1564405684712023648,Sedano's Masa Real De Guayaba,9107434013,['22394631'],24 oz,https://www.sedanos.com/shop/bakery/sweets_desserts/sedano_s_masa_real_de_guayaba/p/1564405684712023648,not_available
1564405684712024650,Sedano's Guava Tart,27110700000,['22394778'],1 ct,https://www.sedanos.com/shop/bakery/sweets_desserts/pies_tarts/sedano_s_guava_tart/p/1564405684712024650,available
1564405684712023941,Flan De Coco,27101200000,['22394612'],30 oz,https://www.sedanos.com/shop/bakery/flan_de_coco/p/1564405684712023941,available
1564405684712022272,Sedano's Coconut Pastry,27307700000,['22394776'],1 ct,https://www.sedanos.com/shop/bakery/sweets_desserts/donuts_pastries/sedano_s_coconut_pastry/p/1564405684712022272,available
2099649,"Wonder Hamburger Buns, Classic, Extra Soft 12 ea",7225001140,['22395267'],12 ea,https://www.sedanos.com/shop/bakery/buns_rolls/from_the_aisle/buns/wonder_hamburger_buns_classic_extra_soft_12_ea/p/2099649,available
8152012,"Cuetara Cookies, Maria 3.5 Oz",843416544304,['22394775'],3.5 oz,https://www.sedanos.com/shop/bakery/sweets_desserts/cookies_treats/cuetara_cookies_maria_3_5_oz/p/8152012,available
43560,"Martin's Potato Bread, Sandwich 18 oz",7518500700,['22394622'],18 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/martin_s_potato_bread_sandwich_18_oz/p/43560,available
1564405684712024652,Sedano's Fruit Tart,27110900000,['22394778'],1 ct,https://www.sedanos.com/shop/bakery/sweets_desserts/pies_tarts/sedano_s_fruit_tart/p/1564405684712024652,available
7155028,"Bakerly Brioche, The Sliced 17.64 Oz",85216000629,['22394749'],17.64 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/specialty_bread/bakerly_brioche_the_sliced_17_64_oz/p/7155028,available
4820355,"Dave's Killer Bread Bread, Organic, Thin Sliced 20.5 oz",1376402713,['22394746'],20.5 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/multi_grain_whole_wheat_bread/dave_s_killer_bread_bread_organic_thin_sliced_20_5_oz/p/4820355,available
1564405684710664985,Suki Cassava Bread,89214400020,['22394622'],7 oz,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/suki_cassava_bread/p/1564405684710664985,available
445673,"Gwaltney Chicken Hot Dogs, Original, Bun Size 24 ea",78533177820,['22395267'],24 ea,https://www.sedanos.com/shop/bakery/buns_rolls/from_the_aisle/buns/gwaltney_chicken_hot_dogs_original_bun_size_24_ea/p/445673,available
1564405684712024223,Galaxy Cappuccino Cake,82479085037,['22394773'],1 ct,https://www.sedanos.com/shop/bakery/sweets_desserts/cakes/galaxy_cappuccino_cake/p/1564405684712024223,available
8185990,Cruz Boniatillo,71559510009,['22394612'],1 oz,https://www.sedanos.com/shop/bakery/cruz_boniatillo/p/8185990,available
7016522,Central Pastries Panque Vanilla Muffins,76006412402,['22394777'],22.5 oz,https://www.sedanos.com/shop/bakery/sweets_desserts/muffins_cupcakes/central_pastries_panque_vanilla_muffins/p/7016522,available
1564405684712024278,Sedano's French Toast with Syrup,27102400000,['22394612'],10 oz,https://www.sedanos.com/shop/bakery/sedano_s_french_toast_with_syrup/p/1564405684712024278,available
1564405684712025143,Toni's Bakery Guava Masa Real Bakery,80487956325,['22394624'],12 ct,https://www.sedanos.com/shop/bakery/freshly_baked_artisan_bread/toni_s_bakery_guava_masa_real_bakery/p/1564405684712025143,available
1564405684712021977,Tonys Guava Pie,80487956324,['22394776'],10 ct,https://www.sedanos.com/shop/bakery/sweets_desserts/donuts_pastries/tonys_guava_pie/p/1564405684712021977,available
1564405684712024617,Sedano's Fritters in Syrup,27102500000,['22394612'],10 oz,https://www.sedanos.com/shop/bakery/sedano_s_fritters_in_syrup/p/1564405684712024617,available
2314626,"Fathers Table Cheesecake, Variety Sampler 16 Oz",1037416205,['22395269'],16 oz,https://www.sedanos.com/shop/bakery/sweets_desserts/cakes/cheesecakes/fathers_table_cheesecake_variety_sampler_16_oz/p/2314626,available
1564405684712021519,Galaxy Bakery Borrachita Syrup Sponge Cake,82479085235,['22394626'],26 oz,https://www.sedanos.com/shop/bakery/packaged_sweets_desserts/galaxy_bakery_borrachita_syrup_sponge_cake/p/1564405684712021519,available
1564405684712022005,Familiar Paquete Mini Croissant,27105800000,['22394755'],6 oz,https://www.sedanos.com/shop/bakery/freshly_baked_artisan_bread/bagels_croissants/familiar_paquete_mini_croissant/p/1564405684712022005,available
41661,"Toufayan Bakeries Pita, Sweet Onion, Hearth Baked 6 ea",7312400506,['22394751'],6 ea,https://www.sedanos.com/shop/bakery/breads_from_the_aisle/tortillas_pitas/toufayan_bakeries_pita_sweet_onion_hearth_baked_6_ea/p/41661,available
1564405684712022151,Dulce De Leche,27100000000,['22394773'],5 oz,https://www.sedanos.com/shop/bakery/sweets_desserts/cakes/dulce_de_leche/p/1564405684712022151,available
19624,"Little Debbie Cosmic Brownies, With Chocolate Chip Candy 6 ea",2430004106,['22395283'],6 ea,https://www.sedanos.com/shop/bakery/sweets_desserts/donuts_pastries/brownies/little_debbie_cosmic_brownies_with_chocolate_chip_candy_6_ea/p/19624,available
