category_id,category_name,total_products,brand_id
arts-crafts-hobby.html,"Arts, Crafts & Hobby",1,
building-blocks.html,Building Blocks & Sets,13,
dollhouses.html,Dolls & Action Figures,1,
pretend-play.html,Dress Up & Pretend Play,4,
toys-outdoor-play.html,Outdoor & Water Toys,15,
board-games-puzzles.html,"Puzzles, Cards & Board Games",5,
ride-on-toys.html,Ride-On Toys,1,
plush-toys.html,Stuffed Animals & Plush Toys,3,
join-costco.html,Join Costco,6,
black-friday.html,Black Friday,3,
buying-guides.html,Buying Guides,2,
hearing-aid-center.html,Costco Hearing Aid Center,4,
services.html,Costco Services for Members,9,
cyber-monday-offers.html,Cyber Monday,1,
featured-brands.html,Explore Our Brands,2,
funeral.html,Funeral,9,
whats-new.html,New Items,266,
pharmacy.html,Pharmacy,2,
